name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100NaturalBran,Q,C,120,3,5,15,2.0,8.0,8.0,135.0,0,3,1.0,1.0,33.983679
All-Bran,K,C,70,4,1,260,9.0,7.0,5.0,320.0,25,3,1.0,0.33,59.425505
All-BranwithExtraFiber,K,C,50,4,0,140,14.0,8.0,0.0,330.0,25,3,1.0,0.5,93.704912
AlmondDelight,R,C,110,2,2,200,1.0,14.0,8.0,,25,3,1.0,0.75,34.384843
AppleCinnamonCheerios,G,C,110,2,2,180,1.5,10.5,10.0,70.0,25,1,1.0,0.75,29.509541
AppleJacks,K,C,110,2,0,125,1.0,11.0,14.0,30.0,25,2,1.0,1.0,33.174094
Basic4,G,C,130,3,2,210,2.0,18.0,8.0,100.0,25,3,1.33,0.75,37.038562
BranChex,R,C,90,2,1,200,4.0,15.0,6.0,125.0,25,1,1.0,0.67,49.120253
BranFlakes,P,C,90,3,0,210,5.0,13.0,5.0,190.0,25,3,1.0,0.67,53.313813
CapnCrunch,Q,C,120,1,2,220,0.0,12.0,12.0,35.0,25,2,1.0,0.75,18.042851
Cheerios,G,C,110,6,2,290,2.0,17.0,1.0,105.0,25,1,1.0,1.25,50.764999
CinnamonToastCrunch,G,C,120,1,3,210,0.0,13.0,9.0,45.0,25,2,1.0,0.75,19.823573
Clusters,G,C,110,3,2,140,2.0,13.0,7.0,105.0,25,3,1.0,0.5,40.400208
CocoaPuffs,G,C,110,1,1,180,0.0,12.0,13.0,55.0,25,2,1.0,1.0,22.736446
CornChex,R,C,110,2,0,280,0.0,22.0,3.0,25.0,25,1,1.0,1.0,41.445019
CornFlakes,K,C,100,2,0,290,1.0,21.0,2.0,35.0,25,1,1.0,1.0,45.863324
CornPops,K,C,110,1,0,90,1.0,13.0,12.0,20.0,25,2,1.0,1.0,35.782791
CountChocula,G,C,110,1,1,180,0.0,12.0,13.0,65.0,25,2,1.0,1.0,22.396513
CracklinOatBran,K,C,110,3,3,140,4.0,10.0,7.0,160.0,25,3,1.0,0.5,40.448772
CreamofWheatQuick,N,H,100,3,0,80,1.0,21.0,0.0,,0,2,1.0,1.0,64.533816
Crispix,K,C,110,2,0,220,1.0,21.0,3.0,30.0,25,3,1.0,1.0,46.895644
CrispyWheatRaisins,G,C,100,2,1,140,2.0,11.0,10.0,120.0,25,3,1.0,0.75,36.176196
DoubleChex,R,C,100,2,0,190,1.0,18.0,5.0,80.0,25,3,1.0,0.75,44.330856
FrootLoops,K,C,110,2,1,125,1.0,11.0,13.0,30.0,25,2,1.0,1.0,32.207582
FrostedFlakes,K,C,110,1,0,200,1.0,14.0,11.0,25.0,25,1,1.0,0.75,31.435973
FrostedMiniWheats,K,C,100,3,0,0,3.0,14.0,7.0,100.0,25,2,1.0,0.8,58.345141
FruiFibreDatesWalnutsandOats,P,C,120,3,2,160,5.0,12.0,10.0,200.0,25,3,1.25,0.67,40.917047
FruitfulBran,K,C,120,3,0,240,5.0,14.0,12.0,190.0,25,3,1.33,0.67,41.015492
FruityPebbles,P,C,110,1,1,135,0.0,13.0,12.0,25.0,25,2,1.0,0.75,28.025765
GoldenCrisp,P,C,100,2,0,45,0.0,11.0,15.0,40.0,25,1,1.0,0.88,35.252444
GoldenGrahams,G,C,110,1,1,280,0.0,15.0,9.0,45.0,25,2,1.0,0.75,23.804043
GrapeNutsFlakes,P,C,100,3,1,140,3.0,15.0,5.0,85.0,25,3,1.0,0.88,52.076897
Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3.0,90.0,25,3,1.0,0.25,53.371007
GreatGrainsPecan,P,C,120,3,3,75,3.0,13.0,4.0,100.0,25,3,1.0,0.33,45.811716
